Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"3 BHK Flat for Sale in Urban Oasis, Sector 62, Gurgaon",4 Cr,1500 sqft,Sector 62,Semi-Furnished,1,3,Urban Oasis
"2 BHK Flat for Sale in Sweta Central Park II Belgravia, Tikri, Sector 48, Sohna Road, Gurgaon",3.25 Cr,1666 sqft,Tikri,Semi-Furnished,2,2,Sweta Central Park II Belgravia
"4 BHK Flat for Sale in Sector 2 Palam Vihar, Gurgaon",2.92 Cr,2555 sqft,Gurgaon,Unfurnished,2,5,N/A
"3 BHK Flat for Sale in Phase 2 DLF, Gurgaon",2.30 Cr,1500 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"3 BHK Flat for Sale in Sector 46, Gurgaon",1.69 Cr,1310 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"3 BHK Flat for Sale in Unitech Residency Greens, Greenwood City, Gurgaon",2.60 Cr,1540 sqft,Greenwood City,Semi-Furnished,1,3,Unitech Residency Greens
"4 BHK Flat for Sale in Palam Vihar, Gurgaon",3.30 Cr,2850 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"3 BHK Flat for Sale in RWA Builder Floor, Phase 2 DLF, Gurgaon",2.05 Cr,1950 sqft,Phase 2 DLF,Semi-Furnished,N/A,3,RWA Builder Floor
"4 BHK Flat for Sale in Phase 2 DLF, Gurgaon",5.95 Cr,415 sqyrd,Gurgaon,Semi-Furnished,N/A,5,N/A
"4 BHK Flat for Sale in DLF City Phase 1, Sector 26, Gurgaon",4.45 Cr,2160 sqft,Sector 26,Semi-Furnished,1,4,DLF City Phase 1
"3 BHK Flat for Sale in Hightown Residences, Block A Sushant Lok Phase I, Gurgaon",3.55 Cr,2150 sqft,Block A Sushant Lok Phase I,Semi-Furnished,1,4,Hightown Residences
"2 BHK Flat for Sale in Signature Global City 79B 1, Sector 79, Gurgaon",85.8 Lac,1055 sqft,Sector 79,Semi-Furnished,1,2,Signature Global City 79B 1
